imdb_id,title,year,runtime_minutes,rating,genres
tt1000000,The Matrix,1997,176,8.5,Sci-Fi
tt1000001,The Sixth Sense,2000,198,7.9,Drama|Mystery
tt1000002,Fight Club,1992,106,8.6,Crime|Thriller
tt1000003,American Beauty,1992,96,5.3,Sci-Fi
tt1000004,The Green Mile,2000,156,5.2,Mystery
tt1000005,Magnolia,1996,89,6.9,Western|Romance
tt1000006,Eyes Wide Shut,1990,121,6.8,Documentary|Drama
tt1000007,The Insider,1996,149,5.5,Sci-Fi|Documentary
tt1000008,Being John Malkovich,1997,121,6.5,Documentary|Action
tt1000009,Three Kings,2000,93,8.4,Sci-Fi|Drama
tt1000010,Office Space,1995,192,6.3,Action
tt1000011,Election,2000,95,5.5,Fantasy|Mystery
tt1000012,Rushmore  extra,1991,161,,Horror|Adventure
tt1000013,The Limey,1997,132,7.1,Comedy|Crime   
tt1000014,Go,1994,124,8.8,Drama|Mystery
tt1000015,Run Lola Run,1994,165,6.6,Romance|Drama
tt1000016,Dark City,1994,92,8.4,Sci-Fi
tt1000017,Pleasantville,1992,158,6.3,Drama|Adventure
tt1000018,Pi   ,1998,0,9.1,Crime|Horror
tt1000019,Rounders,1992,0,,Romance|Mystery
tt1000020,Lock Stock and Two Smoking Barrels,2000,117,8.0,Drama
tt1000021,Blade,1999,200,5.0,Sci-Fi
tt1000022,Dark City,1997,184,7.0,Comedy|Mystery
tt1000023,Buffalo 66,1998,88,6.3,Thriller|Documentary
tt1000024,The Truman Show,2000,177,6.1,Western|Crime
tt1000025,There's Something About Mary,1990,,7.9,Horror
,Saving Private Ryan,1990,192,0.0,Fantasy
tt1000027,The Big Lebowski,1992,172,8.1,Adventure
tt1000028,Happiness,1997,133,6.6,Crime|Sci-Fi
tt1000029,Velvet Goldmine,1990,179,8.5,Horror|Crime
tt1000030,A Simple Plan,1993,92,8.3,Crime   
tt1000031,,2000,93,5.7,Animation|Crime
tt1000032,  Armageddon,1997,150,5.6,Fantasy
tt1000033,Snake Eyes,1992,144,5.4,Adventure|Action
,Meet Joe Black,1997,173,8.5,Mystery|Romance
tt1000035,Patch Adams,1995,127,6.5,Romance
tt1000036,The  Waterboy,0,200,7.8,Sci-Fi
tt1000037,You've Got Mail,1993,130,8.7,Mystery|Comedy
tt1000038,Ronin   ,1991,,8.8,Fantasy|Horror
tt1000039,Enemy of the State,1993,132,6.4,Romance|Sci-Fi
tt1000040,Deep Impact,1996,150,7.7,Sci-Fi|Documentary
tt1000041,,1992,,7.7,Romance|Comedy
tt1000042,Sphere   ,2000,197,0.0,Documentary|Mystery
tt1000043,Lethal Weapon 4,1999,167,7.2,Documentary|Animation
tt1000044,The Mask of Zorro,1999,91,8.0,Romance|Drama
tt1000045,Blade Runner,1998,187,5.5,Sci-Fi
tt1000046,Gattaca,1992,144,5.6,Fantasy|Comedy
tt1000047,Contact,1999,180,6.8,Fantasy
tt1000048,L.A. Confidential,1992,142,6.1,Crime
tt1000049,Boogie Nights,1999,141,6.4,Thriller|Drama
