credit_id,movie_imdb_id,person_imdb_id,role
cr_imdb_credits_000000,tt2000075,nm3000142,producer
cr_imdb_credits_000001,tt2000086,nm3000186,composer
cr_imdb_credits_000002,tt2000044,nm3000100,director
cr_imdb_credits_000003,tt2000043,nm3000179,director
cr_imdb_credits_000004,tt2000071,nm3000013,director
cr_imdb_credits_000005,tt2000080,nm3000052,director
cr_imdb_credits_000006,tt2000072,nm3000179,actor
cr_imdb_credits_000007,tt2000066,nm3000047,director
cr_imdb_credits_000008,tt2000045,nm3000054,writer
cr_imdb_credits_000009,tt2000050,nm3000028,director
cr_imdb_credits_000010,tt2000067,nm3000137,actor
cr_imdb_credits_000011,tt2000014,nm3000091,director
cr_imdb_credits_000012,tt2000085,nm3000190,director
cr_imdb_credits_000013,tt2000000,nm3000112,writer
cr_imdb_credits_000014,tt2000001,nm3000048,director
cr_imdb_credits_000015,tt2000068,nm3000199,writer
cr_imdb_credits_000016,tt2000056,nm3000099,producer
cr_imdb_credits_000017,tt2000092,nm3000096,composer
cr_imdb_credits_000018,tt2000022,nm3000048,composer
cr_imdb_credits_000019,tt2000084,nm3000141,producer
cr_imdb_credits_000020,tt2000075,nm3000185,director
cr_imdb_credits_000021,tt2000098,nm3000077,composer
cr_imdb_credits_000022,tt2000085,nm3000136,writer
cr_imdb_credits_000023,tt2000083,nm3000107,producer
cr_imdb_credits_000024,tt2000018,nm3000158,writer
cr_imdb_credits_000025,tt2000048,nm3000143,Writer
cr_imdb_credits_000026,tt2000075,nm3000189,writer
cr_imdb_credits_000027,tt2000071,nm3000074,writer
cr_imdb_credits_000028,tt2000082,nm3000069,composer
cr_imdb_credits_000029,tt2000093,nm3000128,writer
cr_imdb_credits_000030,tt2000074,nm3000134,actor
cr_imdb_credits_000031,tt2000042,nm3000105,writer
cr_imdb_credits_000032,tt2000008,nm3000116,director
cr_imdb_credits_000033,tt2000015,nm3000169,producer
cr_imdb_credits_000034,tt2000057,nm3000026,director
cr_imdb_credits_000035,tt2000015,nm3000122,director
cr_imdb_credits_000036,tt2000098,nm3000043,director
cr_imdb_credits_000037,tt2000040,nm3000175,producer
cr_imdb_credits_000038,tt2000080,nm3000101,producer
cr_imdb_credits_000039,tt2000041,nm3000075,producer
cr_imdb_credits_000040,tt2000050,nm3000065,producer
cr_imdb_credits_000041,tt2000081,nm3000055,director
cr_imdb_credits_000042,tt2000017,nm3000035,actor
cr_imdb_credits_000043,tt2000054,nm3000019,actor
cr_imdb_credits_000044,tt2000016,nm3000128,writer
cr_imdb_credits_000045,tt2000099,nm3000189,director
cr_imdb_credits_000046,tt2000070,nm3000119,director
cr_imdb_credits_000047,tt2000094,nm3000109,director
cr_imdb_credits_000048,tt2000061,nm3000030,writer
cr_imdb_credits_000049,tt2000046,nm3000129,producer
cr_imdb_credits_000050,tt2000022,nm3000054,writer
cr_imdb_credits_000051,tt2000067,nm3000074,composer
cr_imdb_credits_000052,tt2000023,nm3000085,writer
cr_imdb_credits_000053,tt2000057,nm3000079,Composer
cr_imdb_credits_000054,tt2000021,nm3000095,producer
cr_imdb_credits_000055,tt2000089,nm3000197,composer
cr_imdb_credits_000056,tt2000030,nm3000098,director
cr_imdb_credits_000057,tt2000099,nm3000075,actor
cr_imdb_credits_000058,tt2000062,nm3000071,producer
cr_imdb_credits_000059,tt2000093,nm3000026,composer
cr_imdb_credits_000060,tt2000047,nm3000193,composer
cr_imdb_credits_000061,tt2000088,nm3000052,producer
cr_imdb_credits_000062,tt2000087,nm3000146,producer
cr_imdb_credits_000063,tt2000033,nm3000181,writer
cr_imdb_credits_000064,tt2000070,nm3000083,writer
cr_imdb_credits_000065,tt2000008,nm3000121,producer
cr_imdb_credits_000066,tt2000094,nm3000015,director
cr_imdb_credits_000067,tt2000079,nm3000033,writer
cr_imdb_credits_000068,tt2000047,nm3000071,actor
cr_imdb_credits_000069,tt2000008,nm3000009,composer
cr_imdb_credits_000070,tt2000068,nm3000144,PRODUCER
cr_imdb_credits_000071,tt2000040,nm3000092,writer
cr_imdb_credits_000072,tt2000048,nm3000104,composer
cr_imdb_credits_000073,tt2000098,nm3000148,producer
cr_imdb_credits_000074,tt2000027,nm3000065,actor
cr_imdb_credits_000075,tt2000030,nm3000051,writer
cr_imdb_credits_000076,tt2000014,nm3000138,composer
cr_imdb_credits_000077,tt2000047,nm3000029,producer
cr_imdb_credits_000078,tt2000099,nm3000108,producer
cr_imdb_credits_000079,tt2000093,nm3000081,director
cr_imdb_credits_000080,tt2000048,nm3000129,actor
cr_imdb_credits_000081,tt2000074,nm3000153,actor
cr_imdb_credits_000082,tt2000082,nm3000128,writer
cr_imdb_credits_000083,tt2000001,nm3000045,composer
cr_imdb_credits_000084,tt2000009,nm3000021,actor
cr_imdb_credits_000085,tt2000064,nm3000029,writer
cr_imdb_credits_000086,tt2000014,nm3000097,producer
cr_imdb_credits_000087,tt2000029,nm3000156,writer
cr_imdb_credits_000088,tt2000083,nm3000188,composer
cr_imdb_credits_000089,tt2000041,nm3000069,composer
cr_imdb_credits_000090,tt2000077,nm3000126,writer
cr_imdb_credits_000091,tt2000049,nm3000183,director
cr_imdb_credits_000092,tt2000030,nm3000182,writer
cr_imdb_credits_000093,tt2000011,nm3000074,director
cr_imdb_credits_000094,tt2000017,nm3000049,producer
cr_imdb_credits_000095,tt2000003,nm3000014,writer
cr_imdb_credits_000096,tt2000054,nm3000101,actor
cr_imdb_credits_000097,tt2000033,nm3000004,producer
cr_imdb_credits_000098,tt2000044,nm3000008,composer
cr_imdb_credits_000099,tt2000072,nm3000011,actor
cr_imdb_credits_000100,tt2000002,nm3000119,actor
cr_imdb_credits_000101,tt2000076,nm3000136,actor
cr_imdb_credits_000102,tt2000084,nm3000047,Producer
cr_imdb_credits_000103,tt2000078,nm3000168,writer
cr_imdb_credits_000104,tt2000085,nm3000038,writer
cr_imdb_credits_000105,tt2000003,nm3000174,actor
cr_imdb_credits_000106,tt2000053,nm3000008,director
cr_imdb_credits_000107,tt2000068,nm3000151,composer
cr_imdb_credits_000108,tt2000053,nm3000104,writer
cr_imdb_credits_000109,tt2000032,nm3000055,director
cr_imdb_credits_000110,tt2000049,nm3000100,actor
cr_imdb_credits_000111,tt2000050,nm3000037,director
cr_imdb_credits_000112,tt2000068,nm3000057,composer
cr_imdb_credits_000113,tt2000067,nm3000172,producer
cr_imdb_credits_000114,tt2000053,nm3000127,director
cr_imdb_credits_000115,tt2000040,nm3000066,composer
cr_imdb_credits_000116,tt2000033,nm3000139,composer
cr_imdb_credits_000117,tt2000099,nm3000071,composer
cr_imdb_credits_000118,tt2000053,nm3000168,director
cr_imdb_credits_000119,tt2000077,nm3000048,composer
cr_imdb_credits_000120,tt2000006,nm3000076,director
cr_imdb_credits_000121,tt2000052,nm3000076,wRITER
cr_imdb_credits_000122,tt2000081,nm3000037,producer
cr_imdb_credits_000123,tt2000072,nm3000113,director
cr_imdb_credits_000124,tt2000013,nm3000147,writer
cr_imdb_credits_000125,tt2000056,nm3000179,composer
cr_imdb_credits_000126,tt2000047,nm3000090,producer
cr_imdb_credits_000127,tt2000060,nm3000130,composer
cr_imdb_credits_000128,tt2000088,nm3000079,director
cr_imdb_credits_000129,tt2000019,nm3000080,composer
cr_imdb_credits_000130,tt2000016,nm3000106,actor
cr_imdb_credits_000131,tt2000037,nm3000120,writer
cr_imdb_credits_000132,tt2000078,nm3000014,writer
cr_imdb_credits_000133,tt2000039,nm3000196,producer
cr_imdb_credits_000134,tt2000063,nm3000077,producer
cr_imdb_credits_000135,tt2000005,nm3000114,director
cr_imdb_credits_000136,tt2000059,nm3000009,producer
cr_imdb_credits_000137,tt2000092,nm3000102,writer
cr_imdb_credits_000138,tt2000097,nm3000029,writer
cr_imdb_credits_000139,tt2000054,nm3000164,writer
cr_imdb_credits_000140,tt2000073,nm3000027,composer
cr_imdb_credits_000141,tt2000079,nm3000099,Producer
cr_imdb_credits_000142,tt2000080,nm3000040,producer
cr_imdb_credits_000143,tt2000056,nm3000046,writer
cr_imdb_credits_000144,tt2000021,nm3000187,producer
cr_imdb_credits_000145,tt2000062,nm3000100,writer
cr_imdb_credits_000146,tt2000059,nm3000199,composer
