imdb_id,name,birthdate,country,wikidata_id
nm3000000,Tom Hanks,07/21/1934,US,Q7000000
nm3000001,Meryl Streep,09/25/1958,FR,Q7000001
nm3000002,Jack Nicholson,03/01/1973,JP,Q7000002
nm3000003,Cate Blanchett,03/15/1936,MX,Q7000003
nm3000004,Denzel Washington,06/13/1931,RU,
nm3000005,Jodie Foster,04/25/1933,IT,Q7000005
nm3000006,Robert De Niro,06/22/1926,CN,Q7000006
nm3000007,Natalie Portman,04/02/1961,DE,Q7000007
nm3000008,Al Pacino,07/04/1963,GB,
nm3000009,Kate Winslet,01/11/1971,US,
nm3000010,Dustin Hoffman,10/24/1930,JP,
nm3000011,Halle Berry,08/11/1925,GB,
nm3000012,Gene Hackman,01/01/1969,BR,
nm3000013,Charlize Theron,08/04/1963,JP,Q7000013
nm3000014,Clint Eastwood,12/26/1943,BR,
nm3000015,Julia Roberts,06/09/1958,JP,Q7000015
nm3000016,Anthony Hopkins,07/12/1924,US,Q7000016
nm3000017,Hillary Swank,04/16/1958,RU,
nm3000018,Morgan Freeman,06/28/1965,MX,Q7000018
nm3000019,Reese Witherspoon,09/01/1932,BR,Q7000019
nm3000020,Alejandro González Iñárritu,07/03/1963,JP,Q7000020
nm3000021,Penélope Cruz,05/10/1952,JP,Q7000021
nm3000022,Søren Kierkegaard,08/17/1977,FR,Q7000022
nm3000023,François Truffaut,08/10/1948,US,Q7000023
nm3000024,Jean-Luc Godard,09/17/1958,BR,Q7000024
nm3000025,Agnès Varda,10/18/1973,MX,Q7000025
nm3000026,Björk Guðmundsdóttir,04/03/1939,US,Q7000026
nm3000027,Věra Chytilová,02/17/1961,BR,Q7000027
nm3000028,Andrzej Wajda,06/11/1957,IT,Q7000028
nm3000029,Krzysztof Kieślowski,03/03/1940,IT,Q7000029
nm3000030,Ingmar Bergman,12/22/1928,JP,Q7000030
nm3000031,Märta Torén,04/15/1951,FR,Q7000031
nm3000032,黒澤 明,12/17/1962,DE,
nm3000033,宮崎 駿,02/27/1974,BR,Q7000033
nm3000034,Андрей Тарковский,09/20/1979,DE,Q7000034
nm3000035,Сергей Эйзенштейн,09/03/1965,US,Q7000035
nm3000036,عمر الشريف,11/06/1929,MX,Q7000036
nm3000037,يوسف شاهين,10/13/1927,MX,Q7000037
nm3000038,Steven Spielberg,06/08/1936,BR,
nm3000039,Martin Scorsese,11/06/1963,US,
nm3000040,Francis Ford Coppola,06/07/1920,IT,Q7000040
nm3000041,Stanley Kubrick,07/14/1971,GB,Q7000041
nm3000042,Alfred Hitchcock,12/02/1956,US,Q7000042
nm3000043,Billy Wilder,01/23/1969,US,Q7000043
nm3000044,John Ford,,IT,
nm3000045,Howard Hawks,01/18/1931,BR,Q7000045
nm3000046,Orson Welles,02/16/1922,JP,Q7000046
nm3000047,Jean Renoir,03/01/1939,JP,
nm3000048,Federico Fellini,01/25/1953,BR,
nm3000049,Michelangelo Antonioni,04/07/1943,BR,Q7000049
nm3000050,Luchino Visconti,12/13/1924,JP,Q7000050
nm3000051,Pier Paolo Pasolini,04/06/1973,GB,
nm3000052,Werner Herzog,11/27/1976,IT,Q7000052
nm3000053,Rainer Werner Fassbinder,03/21/1946,GB,
nm3000054,Wim Wenders,10/22/1955,BR,
nm3000055,Akira Kurosawa,06/01/1974,MX,Q7000055
nm3000056,Yasujirō Ozu,12/12/1959,MX,
nm3000057,Kenji Mizoguchi,12/03/1964,CN,Q7000057
nm3000058,Wong Kar-wai,03/18/1921,MX,
nm3000059,Zhang Yimou,06/08/1973,BR,Q7000059
nm3000060,Chen Kaige,04/26/1944,MX,Q7000060
nm3000061,Hou Hsiao-hsien,02/12/1958,RU,Q7000061
nm3000062,Abbas Kiarostami,02/02/1966,RU,Q7000062
nm3000063,Mohsen Makhmalbaf,05/23/1934,MX,Q7000063
nm3000064,Jafar Panahi,08/07/1939,IT,Q7000064
nm3000065,Pedro Almodóvar,11/06/1944,JP,Q7000065
nm3000066,Carlos Saura,10/18/1947,FR,
nm3000067,Víctor Erice,09/11/1952,FR,
nm3000068,Michael Haneke,12/28/1974,JP,Q7000068
nm3000069,Lars von Trier,09/23/1925,BR,Q7000069
nm3000070,Thomas Vinterberg,05/02/1954,RU,Q7000070
nm3000071,Joel Coen,12/24/1956,JP,Q7000071
nm3000072,Ethan Coen,03/25/1960,US,
nm3000073,David Lynch,12/19/1951,IT,Q7000073
nm3000074,David Fincher,01/05/1922,JP,
nm3000075,Paul Thomas Anderson,09/01/1945,RU,Q7000075
nm3000076,Wes Anderson,11/24/1948,GB,
nm3000077,Sofia Coppola,11/09/1920,MX,Q7000077
nm3000078,Quentin Tarantino,10/18/1964,BR,Q7000078
nm3000079,Christopher Nolan,07/21/1934,GB,Q7000079
nm3000080,Darren Aronofsky,09/27/1961,BR,
nm3000081,Spike Jonze,10/15/1931,BR,
,Michel Gondry,05/28/1926,FR,Q7000082
nm3000083,Charlie Kaufman,01/11/1956,RU,Q7000083
nm3000084,  Richard Linklater  ,01/09/1968,JP,Q7000084
nm3000085,Jim Jarmusch,10/28/1926,RU,
nm3000086,Todd Haynes,,BR,
