credit_id,movie_imdb_id,person_imdb_id,role
cr_wikidata_credits_000000,tt2000091,nm3000109,actor
cr_wikidata_credits_000001,tt2000019,nm3000161,director
cr_wikidata_credits_000002,tt2000051,nm3000182,composer
cr_wikidata_credits_000003,tt2000029,nm3000009,producer
cr_wikidata_credits_000004,tt2000008,nm3000171,director
cr_wikidata_credits_000005,tt2000001,nm3000101,actor
cr_wikidata_credits_000006,tt2000096,nm3000020,director
cr_wikidata_credits_000007,tt2000057,nm3000120,actor
cr_wikidata_credits_000008,tt2000050,nm3000159,composer
cr_wikidata_credits_000009,tt2000031,nm3000145,producer
cr_wikidata_credits_000010,tt2000046,nm3000161,writer
cr_wikidata_credits_000011,tt2000043,nm3000135,director
cr_wikidata_credits_000012,tt2000005,nm3000048,writer
cr_wikidata_credits_000013,tt2000049,nm3000129,producer
cr_wikidata_credits_000014,tt2000053,nm3000090,actor
cr_wikidata_credits_000015,tt2000068,nm3000150,director
cr_wikidata_credits_000016,tt2000097,nm3000060,composer
cr_wikidata_credits_000017,tt2000038,nm3000190,director
cr_wikidata_credits_000018,tt2000040,nm3000101,director
cr_wikidata_credits_000019,tt2000022,nm3000177,actor
cr_wikidata_credits_000020,tt2000029,nm3000089,director
cr_wikidata_credits_000021,tt2000029,nm3000169,wRITER
cr_wikidata_credits_000022,tt2000002,nm3000104,composer
cr_wikidata_credits_000023,tt2000076,nm3000104,director
cr_wikidata_credits_000024,tt2000012,nm3000065,director
cr_wikidata_credits_000025,tt2000024,nm3000035,director
cr_wikidata_credits_000026,tt2000077,nm3000175,writer
cr_wikidata_credits_000027,tt2000080,nm3000195,actor
cr_wikidata_credits_000028,tt2000034,nm3000161,composer
cr_wikidata_credits_000029,tt2000040,nm3000157,producer
cr_wikidata_credits_000030,tt2000068,nm3000007,composer
cr_wikidata_credits_000031,tt2000057,nm3000069,actor
cr_wikidata_credits_000032,tt2000063,nm3000119,writer
cr_wikidata_credits_000033,tt2000077,nm3000136,actor
cr_wikidata_credits_000034,tt2000022,nm3000102,writer
cr_wikidata_credits_000035,tt2000084,nm3000099,producer
cr_wikidata_credits_000036,tt2000015,nm3000184,writer
cr_wikidata_credits_000037,tt2000067,nm3000038,actor
cr_wikidata_credits_000038,tt2000062,nm3000044,composer
cr_wikidata_credits_000039,tt2000011,nm3000165,actor
cr_wikidata_credits_000040,tt2000067,nm3000194,producer
cr_wikidata_credits_000041,tt2000030,nm3000066,actor
cr_wikidata_credits_000042,tt2000025,nm3000091,writer
cr_wikidata_credits_000043,tt2000089,nm3000192,composer
cr_wikidata_credits_000044,tt2000015,nm3000017,producer
cr_wikidata_credits_000045,tt2000083,nm3000037,writer
cr_wikidata_credits_000046,tt2000079,nm3000164,producer
cr_wikidata_credits_000047,tt2000037,nm3000162,actor
cr_wikidata_credits_000048,tt2000042,nm3000136,producer
cr_wikidata_credits_000049,tt2000037,nm3000121,DIRECTOR
cr_wikidata_credits_000050,tt2000052,nm3000198,producer
cr_wikidata_credits_000051,tt2000086,nm3000086,producer
cr_wikidata_credits_000052,tt2000073,nm3000039,composer
cr_wikidata_credits_000053,tt2000017,nm3000023,producer
cr_wikidata_credits_000054,tt2000067,nm3000177,producer
cr_wikidata_credits_000055,tt2000006,nm3000084,writer
cr_wikidata_credits_000056,tt2000095,nm3000025,producer
cr_wikidata_credits_000057,tt2000096,nm3000119,director
cr_wikidata_credits_000058,tt2000026,nm3000174,composer
cr_wikidata_credits_000059,tt2000070,nm3000081,actor
cr_wikidata_credits_000060,tt2000019,nm3000062,composer
cr_wikidata_credits_000061,tt2000076,nm3000110,actor
cr_wikidata_credits_000062,tt2000052,nm3000043,director
cr_wikidata_credits_000063,tt2000040,nm3000113,producer
cr_wikidata_credits_000064,tt2000098,nm3000066,writer
cr_wikidata_credits_000065,tt2000082,nm3000115,writer
cr_wikidata_credits_000066,tt2000078,nm3000022,actor
cr_wikidata_credits_000067,tt2000070,nm3000052,writer
cr_wikidata_credits_000068,tt9999068,nm3000025,composer
cr_wikidata_credits_000069,tt2000097,nm3000079,writer
cr_wikidata_credits_000070,tt2000056,nm3000112,writer
cr_wikidata_credits_000071,tt2000017,nm3000188,producer
cr_wikidata_credits_000072,tt2000027,nm3000146,writer
cr_wikidata_credits_000073,tt2000040,nm3000021,pRODUCER
cr_wikidata_credits_000074,tt2000082,nm3000104,writer
cr_wikidata_credits_000075,tt2000017,nm3000001,writer
cr_wikidata_credits_000076,tt2000065,nm3000099,composer
cr_wikidata_credits_000077,tt2000049,nm3000114,writer
cr_wikidata_credits_000078,tt2000013,nm3000026,director
cr_wikidata_credits_000079,tt2000090,nm3000032,writer
cr_wikidata_credits_000080,tt2000040,nm3000127,producer
cr_wikidata_credits_000081,tt2000093,nm3000093,composer
cr_wikidata_credits_000082,tt2000046,nm3000150,producer
cr_wikidata_credits_000083,tt2000067,nm3000069,composer
cr_wikidata_credits_000084,tt2000073,nm3000040,producer
cr_wikidata_credits_000085,tt2000004,nm3000173,writer
cr_wikidata_credits_000086,tt2000086,nm3000141,composer
cr_wikidata_credits_000087,tt2000042,nm3000018,actor
cr_wikidata_credits_000088,tt2000038,nm3000189,writer
cr_wikidata_credits_000089,tt2000020,nm3000004,director
cr_wikidata_credits_000090,tt2000074,nm3000058,producer
cr_wikidata_credits_000091,tt2000046,nm3000169,writer
cr_wikidata_credits_000092,tt2000093,nm3000107,director
cr_wikidata_credits_000093,tt2000014,nm3000010,writer
cr_wikidata_credits_000094,tt2000036,nm3000096,director
cr_wikidata_credits_000095,tt2000084,nm3000056,composer
cr_wikidata_credits_000096,tt2000079,nm3000117,actor
cr_wikidata_credits_000097,tt2000092,nm3000133,writer
cr_wikidata_credits_000098,tt2000047,nm3000051,actor
cr_wikidata_credits_000099,tt2000071,nm3000037,actor
cr_wikidata_credits_000100,tt2000035,nm3000197,producer
cr_wikidata_credits_000101,tt2000010,nm3000173,actor
cr_wikidata_credits_000102,tt2000035,nm3000056,actor
cr_wikidata_credits_000103,tt2000044,nm3000067,writer
cr_wikidata_credits_000104,tt2000060,nm3000096,producer
cr_wikidata_credits_000105,tt2000007,nm3000100,composer
cr_wikidata_credits_000106,tt2000003,nm3000170,producer
cr_wikidata_credits_000107,tt2000039,nm3000100,actor
cr_wikidata_credits_000108,tt2000090,nm3000085,cOMPOSER
cr_wikidata_credits_000109,tt2000013,nm3000044,producer
cr_wikidata_credits_000110,tt2000060,nm3000105,director
cr_wikidata_credits_000111,tt2000076,nm3000184,actor
cr_wikidata_credits_000112,tt2000037,nm3000088,producer
cr_wikidata_credits_000113,tt2000060,nm3000097,producer
cr_wikidata_credits_000114,tt2000053,nm3000139,director
cr_wikidata_credits_000115,tt2000099,nm3000088,producer
cr_wikidata_credits_000116,tt2000095,nm3000068,writer
cr_wikidata_credits_000117,tt2000097,nm3000085,producer
cr_wikidata_credits_000118,tt2000014,nm3000127,director
cr_wikidata_credits_000119,tt2000024,nm3000093,actor
cr_wikidata_credits_000120,tt2000014,nm3000107,director
cr_wikidata_credits_000121,tt2000093,nm3000189,composer
cr_wikidata_credits_000122,tt2000088,nm3000117,director
cr_wikidata_credits_000123,tt2000030,nm3000165,director
cr_wikidata_credits_000124,tt2000041,nm3000100,producer
cr_wikidata_credits_000125,tt2000074,nm3000147,director
cr_wikidata_credits_000126,tt2000046,nm3000093,director
cr_wikidata_credits_000127,tt9999127,nm3000157,actor
cr_wikidata_credits_000128,tt2000050,nm3000166,composer
cr_wikidata_credits_000129,tt2000008,nm3000061,producer
cr_wikidata_credits_000130,tt2000001,nm3000170,composer
cr_wikidata_credits_000131,tt2000019,nm3000105,actor
cr_wikidata_credits_000132,tt2000094,nm3000104,writer
cr_wikidata_credits_000133,tt2000058,nm3000036,writer
cr_wikidata_credits_000134,tt2000002,nm3000102,producer
cr_wikidata_credits_000135,tt2000098,nm3000138,producer
cr_wikidata_credits_000136,tt2000036,nm3000178,director
cr_wikidata_credits_000137,tt2000080,nm3000134,writer
cr_wikidata_credits_000138,tt2000054,nm3000037,writer
cr_wikidata_credits_000139,tt2000055,nm3000150,director
cr_wikidata_credits_000140,tt2000039,nm3000095,director
cr_wikidata_credits_000141,tt2000031,nm3000105,composer
cr_wikidata_credits_000142,tt2000068,nm3000146,composer
cr_wikidata_credits_000143,tt2000087,nm3000008,actor
cr_wikidata_credits_000144,tt2000018,nm3000115,writer
cr_wikidata_credits_000145,tt2000038,nm3000112,director
cr_wikidata_credits_000146,tt2000078,nm3000048,producer
cr_wikidata_credits_000147,tt2000093,nm3000050,composer
cr_wikidata_credits_000148,tt2000067,nm3000199,director
cr_wikidata_credits_000149,tt2000085,nm3000087,director
cr_wikidata_credits_000150,tt2000079,nm3000085,producer
cr_wikidata_credits_000151,tt2000003,nm3000159,director
cr_wikidata_credits_000152,tt2000026,nm3000159,actor
cr_wikidata_credits_000153,tt2000076,nm3000091,composer
cr_wikidata_credits_000154,tt2000091,nm3000175,writer
cr_wikidata_credits_000155,tt2000023,nm3000186,director
cr_wikidata_credits_000156,tt2000049,nm3000170,producer
cr_wikidata_credits_000157,tt2000085,nm3000059,director
cr_wikidata_credits_000158,tt2000065,nm3000069,writer
cr_wikidata_credits_000159,tt2000010,nm3000014,dIRECTOR
cr_wikidata_credits_000160,tt2000077,nm3000081,actor
cr_wikidata_credits_000161,tt2000083,nm3000168,writer
cr_wikidata_credits_000162,tt2000072,nm3000159,director
cr_wikidata_credits_000163,tt2000039,nm3000046,director
cr_wikidata_credits_000164,tt2000037,nm3000151,composer
cr_wikidata_credits_000165,tt2000056,nm3000088,writer
cr_wikidata_credits_000166,tt2000074,nm3000023,writer
cr_wikidata_credits_000167,tt2000011,nm3000104,producer
cr_wikidata_credits_000168,tt2000064,nm3000065,producer
cr_wikidata_credits_000169,tt2000093,nm3000058,actor
cr_wikidata_credits_000170,tt2000007,nm3000041,producer
cr_wikidata_credits_000171,tt2000034,nm3000123,actor
cr_wikidata_credits_000172,tt2000096,nm3000155,Producer
cr_wikidata_credits_000173,tt2000061,nm3000139,writer
cr_wikidata_credits_000174,tt2000047,nm3000123,actor
