game_id,primary_title,original_title,release_year,platforms,publisher,kind
game_igdb_games_0000,The Last of Us,The Last of Us,2018,Switch|Xbox One|PS4,Warner Bros.,game
game_igdb_games_0001,Red Dead Redemption 2,Red Dead Redemption 2,2015,Android,Warner Bros.,game
game_igdb_games_0002,God of War,God of War,2020,PS4,Warner Bros.,game
game_igdb_games_0003,Hades,Hades,2023,Switch|Xbox Series X,Universal Pictures,game
game_igdb_games_0004,Disco Elysium,Disco Elysium,2014,PS4|Xbox Series X,Walt Disney Pictures,game
game_igdb_games_0005,Outer Wilds,Outer Wilds,2013,Xbox One|PS5|iOS,Warner Bros.,game
game_igdb_games_0006,Control,Control,2014,iOS|Switch,Warner Bros.,game
game_igdb_games_0007,Death Stranding,Death Stranding,2011,PS5|Xbox One|Android,Universal Pictures,game
game_igdb_games_0008,Sekiro,Sekiro,2018,PS4,Paramount Pictures,game
game_igdb_games_0009,Ghost of Tsushima,Ghost of Tsushima,2012,iOS|PS4|PS5,Walt Disney Pictures,game
