credit_id,person_imdb_id,work_id,entity_class,role
cr_imdb_credits_000000,nm5000015,tt4000000,Movie,writer
cr_imdb_credits_000001,nm5000045,tt6000029,Episode,composer
cr_imdb_credits_000002,nm5000016,game_igdb_games_0000,Game,writer
cr_imdb_credits_000003,nm5000040,tt4000003,Movie,writer
cr_imdb_credits_000004,nm5000028,game_igdb_games_0008,Game,composer
cr_imdb_credits_000005,nm5000028,game_igdb_games_0007,Game,composer
cr_imdb_credits_000006,nm5000004,game_igdb_games_0004,Game,composer
cr_imdb_credits_000007,nm5000032,tt4000014,Movie,writer
cr_imdb_credits_000008,nm5000078,tt5000009,Series,director
cr_imdb_credits_000009,nm5000018,tt4000028,Movie,actor
cr_imdb_credits_000010,nm5000028,tt6000020,Episode,PRODUCER
cr_imdb_credits_000011,nm5000076,tt6000001,Episode,writer
cr_imdb_credits_000012,nm5000046,tt6000028,Episode,producer
cr_imdb_credits_000013,nm5000061,tt5000005,Series,director
cr_imdb_credits_000014,nm5000048,game_igdb_games_0007,Game,actor
cr_imdb_credits_000015,nm5000068,tt5000001,Series,producer
cr_imdb_credits_000016,nm5000004,tt4000010,Movie,producer
cr_imdb_credits_000017,nm5000029,tt5000003,Series,writer
cr_imdb_credits_000018,nm5000073,tt5000007,Series,writer
cr_imdb_credits_000019,nm5000077,game_igdb_games_0000,Game,composer
cr_imdb_credits_000020,nm5000024,tt5000007,Series,writer
cr_imdb_credits_000021,nm5000023,game_igdb_games_0002,Game,actor
cr_imdb_credits_000022,nm5000002,game_igdb_games_0000,Game,director
cr_imdb_credits_000023,nm5000055,tt5000002,Series,producer
cr_imdb_credits_000024,nm5000011,tt5000009,Series,composer
cr_imdb_credits_000025,nm5000006,tt4000024,Movie,composer
cr_imdb_credits_000026,nm5000008,tt4000008,Movie,WRITER
cr_imdb_credits_000027,nm5000053,tt6000047,Episode,composer
cr_imdb_credits_000028,nm5000024,game_igdb_games_0000,Game,actor
cr_imdb_credits_000029,nm5000052,game_igdb_games_0008,Game,producer
cr_imdb_credits_000030,nm5000007,game_igdb_games_0001,Game,director
cr_imdb_credits_000031,nm5000003,game_igdb_games_0006,Game,producer
cr_imdb_credits_000032,nm5000014,tt4000013,Movie,producer
cr_imdb_credits_000033,nm5000052,tt5000001,Series,producer
cr_imdb_credits_000034,nm5000039,tt6000036,Episode,director
cr_imdb_credits_000035,nm5000024,tt6000044,Episode,pRODUCER
cr_imdb_credits_000036,nm5000034,tt6000009,Episode,composer
cr_imdb_credits_000037,nm5000007,game_igdb_games_0009,Game,director
cr_imdb_credits_000038,nm5000023,tt6000046,Episode,actor
cr_imdb_credits_000039,nm5000041,tt5000004,Series,actor
cr_imdb_credits_000040,nm5000053,tt5000004,Series,writer
