identifier_id,entity_class,entity_src_key,system
id_imdb_identifiers_00000,Episode,tt6000040,imdb
id_imdb_identifiers_00001,Person,nm5000057,imdb
id_imdb_identifiers_00002,Episode,tt6000039,imdb
id_imdb_identifiers_00003,Movie,tt4000005,imdb
id_imdb_identifiers_00004,Movie,tt4000017,imdb
id_imdb_identifiers_00005,Series,tt5000002,imdb
id_imdb_identifiers_00006,Person,nm5000005,imdb
id_imdb_identifiers_00007,Game,game_igdb_games_0002,imdb
id_imdb_identifiers_00008,Movie,tt4000004,imdb
id_imdb_identifiers_00009,Movie,tt4000002,imdb
id_imdb_identifiers_00010,Game,game_igdb_games_0006,imdb
id_imdb_identifiers_00011,Series,tt5000004,imdb
id_imdb_identifiers_00012,Series,tt5000006,imdb
id_imdb_identifiers_00013,Series,tt5000005,imdb
id_imdb_identifiers_00014,Series,tt5000007,imdb
id_imdb_identifiers_00015,Episode,tt6000012,imdb
id_imdb_identifiers_00016,Series,tt5000009,imdb
id_imdb_identifiers_00017,Movie,tt4000003,imdb
id_imdb_identifiers_00018,Game,game_igdb_games_0006,imdb
id_imdb_identifiers_00019,Series,tt5000003,imdb
id_imdb_identifiers_00020,Game,game_igdb_games_0005,imdb
id_imdb_identifiers_00021,Person,nm5000045,imdb
id_imdb_identifiers_00022,Series,tt5000002,imdb
id_imdb_identifiers_00023,Game,game_igdb_games_0001,imdb
id_imdb_identifiers_00024,Movie,tt4000023,imdb
id_imdb_identifiers_00025,Series,tt5000007,imdb
id_imdb_identifiers_00026,Person,nm5000008,imdb
id_imdb_identifiers_00027,Episode,tt6000025,imdb
id_imdb_identifiers_00028,Game,game_igdb_games_0001,imdb
id_imdb_identifiers_00029,Series,tt5000008,imdb
id_imdb_identifiers_00030,Series,tt5000009,imdb
id_imdb_identifiers_00031,Episode,tt6000018,imdb
id_imdb_identifiers_00032,Series,tt5000006,imdb
id_imdb_identifiers_00033,Person,nm5000054,imdb
id_imdb_identifiers_00034,Series,tt5000001,imdb
id_imdb_identifiers_00035,Person,nm5000079,imdb
id_imdb_identifiers_00036,Movie,tt4000019,imdb
id_imdb_identifiers_00037,Movie,tt4000015,imdb
id_imdb_identifiers_00038,Series,tt5000005,imdb
id_imdb_identifiers_00039,Game,game_igdb_games_0005,imdb
id_imdb_identifiers_00040,Episode,tt6000047,imdb
id_imdb_identifiers_00041,Game,game_igdb_games_0005,imdb
id_imdb_identifiers_00042,Movie,tt4000003,imdb
id_imdb_identifiers_00043,Series,tt5000004,imdb
id_imdb_identifiers_00044,Episode,tt6000044,imdb
id_imdb_identifiers_00045,Series,tt5000003,imdb
id_imdb_identifiers_00046,Series,tt5000001,imdb
id_imdb_identifiers_00047,Movie,tt4000023,imdb
id_imdb_identifiers_00048,Movie,tt4000013,imdb
id_imdb_identifiers_00049,Series,tt5000000,imdb
