imdb_id,name,birthdate,country,wikidata_id
nm5000000,Tom Hanks,1923-01-21,RU,
nm5000001,Meryl Streep,1925-09-02,CN,Q9000001
nm5000002,Jack Nicholson,1920-07-17,DE,Q9000002
nm5000003,Cate Blanchett,1922-09-03,RU,Q9000003
nm5000004,Denzel Washington,1948-06-21,US,Q9000004
nm5000005,Jodie Foster,1950-06-17,DE,Q9000005
nm5000006,Robert De Niro,1979-09-07,CN,
nm5000007,Natalie Portman,1924-06-05,CN,
nm5000008,Al Pacino,1949-07-19,BR,
nm5000009,Kate Winslet,1978-04-25,US,
nm5000010,Dustin Hoffman,1931-09-15,CN,
nm5000011,Halle Berry,1950-06-27,JP,Q9000011
nm5000012,Gene Hackman,1946-06-01,JP,
nm5000013,عمر الشريف,1959-04-23,DE,
nm5000014,Clint Eastwood,1954-08-15,FR,Q9000014
nm5000015,Julia Roberts,1931-02-05,DE,Q9000015
nm5000016,Anthony Hopkins,,US,Q9000016
nm5000017,Hillary Swank,1954-01-18,US,Q9000017
nm5000018,Morgan Freeman,1979-12-17,CN,Q9000018
nm5000019,Reese Witherspoon,1971-08-23,FR,Q9000019
nm5000020,Alejandro González Iñárritu,1967-02-20,BR,Q9000020
nm5000021,Penélope Cruz,1936-06-16,RU,Q9000021
nm5000022,Søren Kierkegaard,1937-11-13,IT,
nm5000023,François Truffaut,1923-09-02,US,Q9000023
nm5000024,Jean-Luc Godard,1959-06-05,BR,
nm5000025,Agnès Varda,1921-05-21,DE,Q9000025
nm5000026,Björk Guðmundsdóttir,1920-08-15,RU,Q9000026
nm5000027,Věra Chytilová,1945-11-02,CN,Q9000027
nm5000028,Andrzej Wajda,1950-09-07,JP,
nm5000029,Krzysztof Kieślowski,1971-11-09,FR,Q9000029
nm5000030,Ingmar Bergman,1943-06-11,JP,Q9000030
nm5000031,Märta Torén,1930-09-02,IT,Q9000031
nm5000032,黒澤 明,1934-04-24,FR,Q9000032
nm5000033,宮崎 駿,1936-06-27,IT,Q9000033
nm5000034,Андрей Тарковский,1956-07-16,IT,Q9000034
nm5000035,Сергей Эйзенштейн,1955-03-16,RU,
nm5000036,عمر الشريف,1954-03-22,JP,
nm5000037,Андрей Тарковский,1958-04-16,US,
nm5000038,Steven Spielberg,1957-12-09,US,
nm5000039,Martin Scorsese,1930-11-19,RU,
nm5000040,Francis Ford Coppola,,BR,Q9000040
nm5000041,Stanley Kubrick,1969-02-04,US,
nm5000042,Alfred Hitchcock,1950-01-21,MX,Q9000042
nm5000043,Billy Wilder,1966-10-06,CN,Q9000043
nm5000044,John Ford,1963-12-14,IT,
nm5000045,Howard Hawks,1926-07-27,RU,Q9000045
nm5000046,Orson Welles,1954-07-27,DE,Q9000046
nm5000047,Jean Renoir,1975-03-01,US,
nm5000048,Federico Fellini,1962-03-01,DE,Q9000048
nm5000049,Michelangelo Antonioni,1963-07-02,MX,
nm5000050,黒澤 明,1976-07-15,US,
nm5000051,Pier Paolo Pasolini,,IT,
nm5000052,Werner Herzog,1954-05-16,DE,Q9000052
nm5000053,Rainer Werner Fassbinder,1961-07-02,MX,Q9000053
nm5000054,Wim Wenders,1979-11-07,GB,
nm5000055,黒澤 明,1972-10-03,MX,Q9000055
nm5000056,Yasujirō Ozu,1959-07-05,GB,Q9000056
nm5000057,Kenji Mizoguchi,1945-05-16,CN,Q9000057
nm5000058,Wong Kar-wai,1945-02-18,MX,Q9000058
nm5000059,Zhang Yimou,1928-05-11,BR,Q9000059
nm5000060,Chen Kaige,1966-08-25,MX,Q9000060
nm5000061,Hou Hsiao-hsien,1967-08-24,CN,Q9000061
nm5000062,Abbas Kiarostami,1970-08-14,IT,Q9000062
nm5000063,Mohsen Makhmalbaf,1938-07-04,RU,
nm5000064,Jafar Panahi,1966-03-22,US,Q9000064
nm5000065,Pedro Almodóvar,1953-11-04,JP,
nm5000066,Carlos Saura,1960-09-16,FR,Q9000066
nm5000067,Víctor Erice,1967-11-17,MX,
nm5000068,Michael Haneke,1958-06-11,RU,Q9000068
nm5000069,Lars von Trier,1931-10-20,BR,Q9000069
nm5000070,Thomas Vinterberg,1933-02-08,US,Q9000070
nm5000071,Joel Coen,1940-10-10,BR,
nm5000072,Ethan Coen,,MX,Q9000072
nm5000073,Андрей Тарковский,1938-10-22,IT,Q9000073
nm5000074,David Fincher,1934-03-06,BR,Q9000074
nm5000075,Paul Thomas Anderson,1939-11-13,GB,
nm5000076,Wes Anderson,1970-01-07,MX,Q9000076
nm5000077,Sofia Coppola,1930-07-15,RU,Q9000077
nm5000078,Quentin Tarantino,1962-06-15,FR,
nm5000079,Christopher Nolan,1927-09-16,GB,Q9000079
