game_id,primary_title,original_title,release_year,platforms,publisher,kind
game_steam_games_0000,The Last of Us,The Last of Us,2020,Android|PS5,Paramount Pictures,game
game_steam_games_0001,Red Dead Redemption 2,Red Dead Redemption 2,2018,PS4|Xbox One|Android|iOS,Walt Disney Pictures,game
game_steam_games_0002,God of War,God of War,2018,Android|iOS|PC|Switch,Warner Bros.,game
game_steam_games_0003,Hades,Hades,2010,Xbox Series X|iOS,Warner Bros.,game
game_steam_games_0004,Disco Elysium,Disco Elysium,2018,iOS,Paramount Pictures,game
game_steam_games_0005,Outer Wilds,Outer Wilds,2011,PC|Switch|Xbox Series X|Android,Paramount Pictures,game
game_steam_games_0006,Control,Control,2010,PC|PS4|Switch|PS5,Walt Disney Pictures,game
game_steam_games_0007,Death Stranding,Death Stranding,2018,Switch|PS4|iOS,Walt Disney Pictures,game
game_steam_games_0008,Sekiro,Sekiro,2015,Xbox Series X|Android,Universal Pictures,game
game_steam_games_0009,Ghost of Tsushima,Ghost of Tsushima,2023,Xbox Series X|PS5|Android|Switch,Paramount Pictures,game
