award_id,name,year,recipient_imdb_id
award_0000,Best Picture,1999,nm5000079
award_0001,Best Director,2008,nm5000000
award_0002,Best Actor,1991,nm5000024
award_0003,Best Actress,2012,nm5000075
award_0004,Best Supporting Actor,1993,nm5000071
award_0005,Best Supporting Actress,1990,nm5000014
award_0006,Best Screenplay,1997,nm5000078
award_0007,Best Cinematography,1998,nm5000053
award_0008,Best Visual Effects,2008,nm5000040
award_0009,Best Score,2015,nm5000076
award_0010,Best Animated Feature,2010,nm5000066
award_0011,Best Documentary,2005,nm5000077
award_0012,Best Foreign Language Film,2021,nm5000005
award_0013,Best Editing,2006,nm5000030
award_0014,Best Sound,1990,nm5000021
award_0015,Best Production Design,1993,nm5000037
award_0016,Best Costume Design,2024,nm5000016
award_0017,Best Makeup and Hairstyling,2001,nm5000034
award_0018,Best Short Film,2003,nm5000079
award_0019,Best Live Action Short,2023,nm5000005
