credit_id,person_imdb_id,work_id,entity_class,role
cr_tmdb_credits_000000,nm5000044,tt6000038,Episode,producer
cr_tmdb_credits_000001,nm5000070,tt5000005,Series,composer
cr_tmdb_credits_000002,nm5000040,tt6000032,Episode,actor
cr_tmdb_credits_000003,nm5000003,game_igdb_games_0004,Game,director
cr_tmdb_credits_000004,nm5000030,tt4000012,Movie,writer
cr_tmdb_credits_000005,nm5000056,tt4000020,Movie,writer
cr_tmdb_credits_000006,nm5000017,tt4000015,Movie,composer
cr_tmdb_credits_000007,nm5000001,tt4000010,Movie,writer
cr_tmdb_credits_000008,nm5000077,tt5000007,Series,producer
cr_tmdb_credits_000009,nm5000034,tt5000006,Series,director
cr_tmdb_credits_000010,nm5000076,tt6000033,Episode,writer
cr_tmdb_credits_000011,nm5000008,game_igdb_games_0008,Game,actor
cr_tmdb_credits_000012,nm5000054,tt4000009,Movie,Actor
cr_tmdb_credits_000013,nm5000001,game_igdb_games_0001,Game,actor
cr_tmdb_credits_000014,nm5000002,tt4000013,Movie,producer
cr_tmdb_credits_000015,nm5000067,tt6000044,Episode,producer
cr_tmdb_credits_000016,nm5000056,game_igdb_games_0002,Game,producer
cr_tmdb_credits_000017,nm5000053,tt6000024,Episode,actor
cr_tmdb_credits_000018,nm5000049,tt5000006,Series,producer
cr_tmdb_credits_000019,nm5000035,tt4000008,Movie,Director
cr_tmdb_credits_000020,nm5000027,tt4000014,Movie,producer
cr_tmdb_credits_000021,nm5000051,game_igdb_games_0001,Game,director
cr_tmdb_credits_000022,nm5000071,tt5000009,Series,composer
cr_tmdb_credits_000023,nm5000051,tt5000000,Series,writer
cr_tmdb_credits_000024,nm5000000,tt5000009,Series,writer
cr_tmdb_credits_000025,nm5000012,game_igdb_games_0008,Game,producer
cr_tmdb_credits_000026,nm5000055,game_igdb_games_0003,Game,writer
cr_tmdb_credits_000027,nm5000042,tt5000006,Series,producer
cr_tmdb_credits_000028,nm5000077,game_igdb_games_0005,Game,director
cr_tmdb_credits_000029,nm5000011,game_igdb_games_0007,Game,writer
