identifier_id,entity_class,entity_src_key,system
id_tmdb_identifiers_00000,Movie,tt4000029,tmdb
id_tmdb_identifiers_00001,Series,tt5000006,tmdb
id_tmdb_identifiers_00002,Series,tt5000002,tmdb
id_tmdb_identifiers_00003,Episode,tt6000028,tmdb
id_tmdb_identifiers_00004,Game,game_igdb_games_0007,tmdb
id_tmdb_identifiers_00005,Movie,tt4000029,tmdb
id_tmdb_identifiers_00006,Episode,tt6000018,tmdb
id_tmdb_identifiers_00007,Series,tt5000005,tmdb
id_tmdb_identifiers_00008,Series,tt5000008,tmdb
id_tmdb_identifiers_00009,Movie,tt4000026,tmdb
id_tmdb_identifiers_00010,Person,nm5000024,tmdb
id_tmdb_identifiers_00011,Series,tt5000004,tmdb
id_tmdb_identifiers_00012,Person,nm5000052,tmdb
id_tmdb_identifiers_00013,Game,game_igdb_games_0007,tmdb
id_tmdb_identifiers_00014,Series,tt5000001,tmdb
id_tmdb_identifiers_00015,Game,game_igdb_games_0007,tmdb
id_tmdb_identifiers_00016,Episode,tt6000025,tmdb
id_tmdb_identifiers_00017,Movie,tt4000001,tmdb
id_tmdb_identifiers_00018,Series,tt5000001,tmdb
id_tmdb_identifiers_00019,Game,game_igdb_games_0004,tmdb
id_tmdb_identifiers_00020,Movie,tt4000016,tmdb
id_tmdb_identifiers_00021,Game,game_igdb_games_0003,tmdb
id_tmdb_identifiers_00022,Game,game_igdb_games_0008,tmdb
id_tmdb_identifiers_00023,Game,game_igdb_games_0003,tmdb
id_tmdb_identifiers_00024,Series,tt5000004,tmdb
id_tmdb_identifiers_00025,Person,nm5000008,tmdb
id_tmdb_identifiers_00026,Person,nm5000011,tmdb
id_tmdb_identifiers_00027,Person,nm5000065,tmdb
id_tmdb_identifiers_00028,Series,tt5000005,tmdb
id_tmdb_identifiers_00029,Series,tt5000008,tmdb
id_tmdb_identifiers_00030,Series,tt5000007,tmdb
id_tmdb_identifiers_00031,Series,tt5000006,tmdb
id_tmdb_identifiers_00032,Person,nm5000020,tmdb
id_tmdb_identifiers_00033,Game,game_igdb_games_0009,tmdb
id_tmdb_identifiers_00034,Game,game_igdb_games_0003,tmdb
id_tmdb_identifiers_00035,Episode,tt6000038,tmdb
id_tmdb_identifiers_00036,Person,nm5000053,tmdb
id_tmdb_identifiers_00037,Series,tt5000007,tmdb
id_tmdb_identifiers_00038,Movie,tt4000003,tmdb
id_tmdb_identifiers_00039,Game,game_igdb_games_0003,tmdb
id_tmdb_identifiers_00040,Person,nm5000023,tmdb
id_tmdb_identifiers_00041,Person,nm5000043,tmdb
id_tmdb_identifiers_00042,Series,tt5000000,tmdb
id_tmdb_identifiers_00043,Person,nm5000046,tmdb
id_tmdb_identifiers_00044,Episode,tt6000046,tmdb
id_tmdb_identifiers_00045,Movie,tt4000013,tmdb
id_tmdb_identifiers_00046,Episode,tt6000048,tmdb
id_tmdb_identifiers_00047,Movie,tt4000019,tmdb
id_tmdb_identifiers_00048,Movie,tt4000028,tmdb
id_tmdb_identifiers_00049,Episode,tt6000006,tmdb
