imdb_id,primary_title,original_title,year,runtime_minutes,rating,genres
tt4000000,The Matrix,The Matrix,2005,148,5.6,Documentary|Sci-Fi
tt4000001,The Sixth Sense,The Sixth Sense,2020,158,8.9,Action
tt4000002,Fight Club,Fight Club,2001,109,8.8,Drama
tt4000003,American Beauty,American Beauty,2004,162,6.7,Comedy|Crime
tt4000004,The Green Mile,The Green Mile,2002,161,8.2,Action
tt4000005,Magnolia,Magnolia,2017,116,9.1,Fantasy|Crime
tt4000006,Eyes Wide Shut,Eyes Wide Shut,2020,86,6.8,Horror|Comedy
tt4000007,The Insider,The Insider,2013,155,6.8,Fantasy|Adventure
tt4000008,Being John Malkovich,Криминальное чтиво,2005,185,7.9,Crime|Drama
tt4000009,Three Kings,Three Kings,1991,151,7.5,Crime|Fantasy
tt4000010,Office Space,Office Space,2019,119,8.0,Sci-Fi|Horror
tt4000011,Election,Election,2019,,6.4,Documentary|Crime
tt4000012,Rushmore,Rushmore,1985,114,7.1,Documentary
tt4000013,The Limey,The Limey,2008,81,7.6,Action|Thriller
tt4000014,Go,七人の侍,1985,125,5.1,Comedy|Animation
tt4000015,Run Lola Run,Run Lola Run,1998,,9.1,Horror|Comedy
tt4000016,Dark City,Dark City,2007,213,7.7,Action|Comedy
tt4000017,Pleasantville,Pleasantville,2008,109,7.9,Animation
tt4000018,Pi,Pi,1992,206,5.0,Fantasy|Comedy
tt4000019,Rounders,Rounders,1986,131,5.6,Animation|Comedy
tt4000020,Lock Stock and Two Smoking Barrels,Lock Stock and Two Smoking Barrels,1996,144,8.0,Sci-Fi|Action
tt4000021,Blade,Blade,2006,120,9.5,Fantasy|Documentary
tt4000022,Buffalo 66,Buffalo 66,1990,,7.8,Adventure|Crime
tt4000023,The Truman Show,The Truman Show,1999,206,5.2,Comedy|Western
tt4000024,Saving Private Ryan,Saving Private Ryan,1996,155,7.7,Animation|Action
tt4000025,The Big Lebowski,The Big Lebowski,1996,90,7.6,Horror|Western
tt4000026,Happiness,Happiness,2023,180,7.4,Documentary
tt4000027,Velvet Goldmine,مدير المدرسة,2000,214,6.2,Action|Crime
tt4000028,A Simple Plan,A Simple Plan,2006,188,7.3,Sci-Fi|Romance
tt4000029,The Negotiator,The Negotiator,2014,94,8.7,Mystery|Western
