imdb_id,name,birthdate,country,wikidata_id
nm5000000,Tom Hanks,12/13/1931,JP,Q9000000
nm5000001,Meryl Streep,03/04/1947,US,
nm5000002,Jack Nicholson,05/13/1934,GB,Q9000002
nm5000003,Cate Blanchett,04/11/1969,JP,
nm5000004,Denzel Washington,04/01/1978,IT,Q9000004
nm5000005,Jodie Foster,04/16/1941,BR,Q9000005
nm5000006,Robert De Niro,12/12/1958,JP,Q9000006
nm5000007,Natalie Portman,02/28/1942,US,
nm5000008,Al Pacino,11/20/1924,GB,
nm5000009,Kate Winslet,07/02/1952,FR,
nm5000010,Dustin Hoffman,08/27/1947,GB,
nm5000011,Halle Berry,06/02/1964,GB,Q9000011
nm5000012,Gene Hackman,04/27/1975,IT,Q9000012
nm5000013,Charlize Theron,11/07/1977,BR,Q9000013
nm5000014,Clint Eastwood,04/06/1930,IT,Q9000014
nm5000015,Julia Roberts,06/01/1977,FR,Q9000015
nm5000016,黒澤 明,02/15/1966,DE,Q9000016
nm5000017,Hillary Swank,03/21/1961,IT,Q9000017
nm5000018,Morgan Freeman,,BR,Q9000018
nm5000019,Reese Witherspoon,10/01/1979,GB,Q9000019
nm5000020,Alejandro González Iñárritu,12/24/1930,DE,Q9000020
nm5000021,Penélope Cruz,06/26/1968,CN,Q9000021
nm5000022,Søren Kierkegaard,03/27/1979,CN,Q9000022
nm5000023,François Truffaut,03/26/1975,MX,Q9000023
nm5000024,Jean-Luc Godard,05/19/1970,GB,Q9000024
nm5000025,Agnès Varda,07/05/1956,IT,Q9000025
nm5000026,Björk Guðmundsdóttir,03/01/1931,CN,Q9000026
nm5000027,Věra Chytilová,09/07/1921,MX,Q9000027
nm5000028,Andrzej Wajda,03/17/1930,DE,Q9000028
nm5000029,Krzysztof Kieślowski,07/05/1925,IT,Q9000029
nm5000030,Ingmar Bergman,03/28/1969,FR,Q9000030
nm5000031,Märta Torén,10/14/1978,BR,Q9000031
nm5000032,黒澤 明,03/21/1947,MX,
nm5000033,宮崎 駿,04/06/1934,DE,Q9000033
nm5000034,Андрей Тарковский,03/05/1975,DE,
nm5000035,عمر الشريف,02/26/1970,CN,Q9000035
nm5000036,عمر الشريف,07/07/1931,RU,Q9000036
nm5000037,يوسف شاهين,03/10/1929,GB,Q9000037
nm5000038,Steven Spielberg,07/27/1937,FR,Q9000038
nm5000039,Martin Scorsese,01/10/1937,JP,Q9000039
nm5000040,Francis Ford Coppola,03/21/1922,DE,
nm5000041,Stanley Kubrick,,RU,Q9000041
nm5000042,Андрей Тарковский,08/25/1972,GB,Q9000042
nm5000043,Billy Wilder,12/06/1940,CN,Q9000043
nm5000044,John Ford,12/10/1955,MX,Q9000044
nm5000045,Howard Hawks,07/26/1964,IT,Q9000045
nm5000046,Orson Welles,10/22/1947,CN,Q9000046
nm5000047,Jean Renoir,10/21/1932,IT,Q9000047
nm5000048,Federico Fellini,01/27/1946,BR,
nm5000049,Michelangelo Antonioni,10/24/1973,DE,Q9000049
nm5000050,Luchino Visconti,01/02/1978,GB,Q9000050
nm5000051,Pier Paolo Pasolini,05/26/1973,BR,Q9000051
nm5000052,Werner Herzog,,FR,Q9000052
nm5000053,Rainer Werner Fassbinder,06/20/1948,CN,Q9000053
nm5000054,Wim Wenders,10/23/1933,IT,Q9000054
nm5000055,Akira Kurosawa,07/28/1963,BR,Q9000055
nm5000056,宮崎 駿,06/18/1953,DE,
nm5000057,Kenji Mizoguchi,02/20/1947,BR,Q9000057
nm5000058,Wong Kar-wai,11/16/1979,US,Q9000058
nm5000059,Zhang Yimou,03/28/1960,DE,Q9000059
nm5000060,Chen Kaige,06/18/1954,FR,Q9000060
nm5000061,Hou Hsiao-hsien,01/10/1956,JP,
nm5000062,Abbas Kiarostami,08/01/1977,CN,Q9000062
nm5000063,Mohsen Makhmalbaf,09/28/1928,JP,
nm5000064,Jafar Panahi,12/02/1960,RU,Q9000064
nm5000065,Pedro Almodóvar,10/21/1974,IT,Q9000065
nm5000066,Carlos Saura,10/19/1937,MX,Q9000066
nm5000067,Víctor Erice,07/23/1950,BR,Q9000067
nm5000068,Michael Haneke,07/20/1921,FR,Q9000068
nm5000069,Lars von Trier,11/15/1940,IT,Q9000069
nm5000070,Thomas Vinterberg,01/15/1930,JP,
nm5000071,Joel Coen,05/26/1964,US,
nm5000072,Ethan Coen,11/04/1968,IT,
nm5000073,David Lynch,04/02/1942,JP,
nm5000074,David Fincher,01/04/1941,MX,Q9000074
nm5000075,Paul Thomas Anderson,03/24/1955,GB,Q9000075
nm5000076,宮崎 駿,07/09/1973,JP,
nm5000077,Sofia Coppola,11/09/1958,JP,Q9000077
nm5000078,Quentin Tarantino,,CN,Q9000078
nm5000079,Christopher Nolan,08/08/1945,GB,Q9000079
