identifier_id,entity_class,entity_src_key,system
id_wikidata_identifiers_00000,Person,nm5000055,wikidata
id_wikidata_identifiers_00001,Game,game_igdb_games_0003,wikidata
id_wikidata_identifiers_00002,Person,nm5000009,wikidata
id_wikidata_identifiers_00003,Episode,tt6000013,wikidata
id_wikidata_identifiers_00004,Series,tt5000005,wikidata
id_wikidata_identifiers_00005,Person,nm5000002,wikidata
id_wikidata_identifiers_00006,Movie,tt4000015,wikidata
id_wikidata_identifiers_00007,Series,tt5000005,wikidata
id_wikidata_identifiers_00008,Movie,tt4000016,wikidata
id_wikidata_identifiers_00009,Series,tt5000008,wikidata
id_wikidata_identifiers_00010,Movie,tt4000029,wikidata
id_wikidata_identifiers_00011,Series,tt5000007,wikidata
id_wikidata_identifiers_00012,Person,nm5000078,wikidata
id_wikidata_identifiers_00013,Game,game_igdb_games_0005,wikidata
id_wikidata_identifiers_00014,Game,game_igdb_games_0008,wikidata
id_wikidata_identifiers_00015,Series,tt5000007,wikidata
id_wikidata_identifiers_00016,Episode,tt6000028,wikidata
id_wikidata_identifiers_00017,Person,nm5000022,wikidata
id_wikidata_identifiers_00018,Movie,tt4000012,wikidata
id_wikidata_identifiers_00019,Episode,tt6000009,wikidata
id_wikidata_identifiers_00020,Episode,tt6000045,wikidata
id_wikidata_identifiers_00021,Person,nm5000062,wikidata
id_wikidata_identifiers_00022,Series,tt5000001,wikidata
id_wikidata_identifiers_00023,Series,tt5000002,wikidata
id_wikidata_identifiers_00024,Person,nm5000070,wikidata
id_wikidata_identifiers_00025,Person,nm5000063,wikidata
id_wikidata_identifiers_00026,Person,nm5000042,wikidata
id_wikidata_identifiers_00027,Episode,tt6000013,wikidata
id_wikidata_identifiers_00028,Movie,tt4000022,wikidata
id_wikidata_identifiers_00029,Game,game_igdb_games_0006,wikidata
id_wikidata_identifiers_00030,Series,tt5000005,wikidata
id_wikidata_identifiers_00031,Game,game_igdb_games_0002,wikidata
id_wikidata_identifiers_00032,Game,game_igdb_games_0005,wikidata
id_wikidata_identifiers_00033,Movie,tt4000022,wikidata
id_wikidata_identifiers_00034,Episode,tt6000030,wikidata
id_wikidata_identifiers_00035,Person,nm5000024,wikidata
id_wikidata_identifiers_00036,Series,tt5000003,wikidata
id_wikidata_identifiers_00037,Person,nm5000061,wikidata
id_wikidata_identifiers_00038,Movie,tt4000025,wikidata
id_wikidata_identifiers_00039,Person,nm5000034,wikidata
id_wikidata_identifiers_00040,Movie,tt4000003,wikidata
id_wikidata_identifiers_00041,Game,game_igdb_games_0001,wikidata
id_wikidata_identifiers_00042,Series,tt5000004,wikidata
id_wikidata_identifiers_00043,Game,game_igdb_games_0006,wikidata
id_wikidata_identifiers_00044,Game,game_igdb_games_0007,wikidata
id_wikidata_identifiers_00045,Game,game_igdb_games_0007,wikidata
id_wikidata_identifiers_00046,Episode,tt6000016,wikidata
id_wikidata_identifiers_00047,Series,tt5000000,wikidata
id_wikidata_identifiers_00048,Series,tt5000004,wikidata
id_wikidata_identifiers_00049,Person,nm5000036,wikidata
